audio_track,target,estimated_similarity,zcr_similarity,rhythm_similarity,chroma_similarity,energy_envelope_similarity,spectral_contrast_similarity,perceptual_similarity,swass
tracks/02 - Tomas Barfod - Light Shine.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.978700680493194,0.516063843693111,0.7688802629709244,0.5089648348267164,0.8898140547545206,0.5415667622601135,0.7009201988415923
tracks/01 Josh Baker - In Two Minds.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9995462126855389,0.5470644602448559,0.7271831333637238,0.5020997550960093,0.8840075016920539,0.5484426607801388,0.7030580190936578
tracks/04 Look Like A Man (Extended Version).mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,4.0,0.9927900857490655,0.5454887844216649,0.7693077474832535,0.5031242960937691,0.9196668954017524,0.5662704216616206,0.7170505270126731
tracks/Bronco Joyce - Faster Than the Speed of Sound.mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.9659206254501107,0.5361228000291015,0.7822147905826569,0.49752772283412805,0.9146214323229344,0.5648382765756749,0.711034214043215
tracks/The Electric Press - Untitled B1.mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.9981472039694905,0.5397706877024334,0.7146420478820801,0.494304725919372,0.9260825230782105,0.5605698707723684,0.7046646869650328
tracks/06 - Subtech - Club Fodder (Original Mix).aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9927598575923661,0.5389250665561274,0.7279179096221924,0.49862461464486835,0.9044466364101332,0.5773520462638921,0.7076981011124158
tracks/01-maxim_samos-alpha_storm_(an-2_remix)-wws.mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9982313654607987,0.5423244833718798,0.7152563035488129,0.5005967051527126,0.9273358723193956,0.568665525802289,0.7076887933839671
tracks/Ursula 1000 Vs Sista Widey - Step Back (Deekline & Ed Solo Remix).mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,0.0,0.9656477006397605,0.541802220000976,0.7328846752643585,0.5056587047294148,0.9245152537498018,0.5696252631336618,0.705009367655673
tracks/Space Manoeuvres - Pluto disko (Mike Monday duck(en) funk(en) remix).aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,4.0,0.9694637103131255,0.5338958652838885,0.7445482015609741,0.5045398358695654,0.8761433779598505,0.5638046602069912,0.7004108088559375
tracks/4 - Oi to the Oi.mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,0.0,0.9852302066935678,0.5325795682012369,0.7041093111038208,0.5133478264390835,0.9244949651985856,0.5819426296568513,0.7045566222948623
